飢,人に飢え用もないのにコンビニで鎮痛剤を買う午前2時,私たち飢えていたんだろうね手を繋いでずっとしりとりをした,「こんにちは、はたらけ」という名の場所で飢えをはじめて意識している,あをぞらに飢えたるきみの気まぐれに雨宿りするわたしのからだ,飢えている体で醤油を飲むたびに明日の醤油の味を思った,路地裏で飢えた吾と猫鉢合わす少し身の付く鮭の皮あり,くじらより大きくなった胃袋でいくら食べてもきみが足りない,愛情に飢えた獣はコンビニで万札出して釣り銭もらう,2時間目 日本史 天保の飢饉 そんなことよりお腹すいたな,むらさめの愛に飢えたる妹が私のために手折るたんぽぽ,耳たぶをやさしくはめば満たされて飢えてたことにあとから気づく,睡眠に飢えているのに胃袋へ届けてしまう黒いコーヒー,めつきりとGigaの減つてる月末に飢餓をかんじてすこしひもじい,貧困の広告尻目に廃棄する 賞味期限が2分過ぎたから,二の腕を測られたことのない子等がお腹すいたとお菓子をねだる,飢餓よりも飢餓感のある日本には逆恨みによる通り魔がある,飢え死んだ蛙に両手合わせてる天使のことをずっと見ていた,アフリカの戦乱の地に飢ゑし子の目はあてもなき空をさまよふ,軒下のツバメの子らは懸命に自らの飢えを口々に叫ぶ,愛に飢えアイウエオンナと自虐ったって空は高いぞ真っ直ぐ生きよう,飢えていることが大切穏やかな暮らしの中でまだ光る夢,恵まれて美味しいばかり食べれても人はそれなり飢えも感じる,ハーゲンダッツ飲み込んですぐに戻せればもいちどイチゴの味だと姉は,飢えきった肉体御して大脳はオフィスの夜更けにランナーズハイ,深夜2時飢餓感のない口内も寂しくてついパンを押し込む,簡単にパンツは脱がず一輪の花をあげなさい飢えた人には,新緑や鳥かしましく健やかに飢え満たしゆく朝の公園,,飢えた子の写真展示を見た後で行くバイキングへいわなにほん
植,右耳にうたを吹き込むすこしだけわたしを移植してゆくやうに,荒れ果てた心にバラを植えましょう 優雅に生きることが復讐,陽だまりに植えた覚えのない花をていねいに抜く母の箱庭,大勢が行方不明になった家でせっせと桜の木を植えるひと,,植木鉢のなかで暮らしているような行き場のなさと今日の重力,向日葵に似ている人を好きになり深夜に開く植物図鑑,仕事から帰った母は家中の植物たちに「ただいま」を言う,すみません、今日の飲み会遠慮します、植物たちとの会話があるので。,気に入った植木ばさみを手に入れて切ってみたくて盆栽を買う,私たちふたりで愛を注いでたトマトがぽとりと落ちる夕暮れ,ベランダの鉢植えを這うカタツムリ    もうどのくらい迷子でいるの,はつなつの植物図鑑に茄子みのり漬物のことを考えている,誤植だと信じたかった旧姓と名簿に書かれた君の名前,庭隅にあんずの苗を植えた日のいま思い出はまろやかになる,あの夜の誤植にされた言の葉がまだ手のひらで息をしている,炊きたての匂いがはこぶ幸せや明日のからだが田に植わってる,常識を植えつけている何度でもただしく持たすキャラクター箸,植物が好きな人には悪人はいないと思う  あんな奴でも,許すことを覚えたけれど植物のようにさみしい自己愛だった,無駄口を叩かずひたすらマイペースな植物たちと深い仲です,母はいつ植ゑたのだらう芳しきキウイの花のいま盛りなり,植物が心の栄養になるらしい買ったサボテン窓際に置く,髭を地に植えて林を広めゆく荒ぶる神のスサノオノミコト,夢で会うあの子は僕に許可取らず心にサボテン植えちゃったらしい,名に惹かれ庭に植えたる紫陽花の「ダンスパーティー」始まりのとき,魔王城攻略のキー入り口の青の紫陽花鉢植えの下,おのづから蒔かぬ嘆きの種だにも憂世の植ゑていかに住めとや,出番待つ緑のお顔アマガエル田植え近づく里山の声,もう誰もいない庭にも紫陽花が咲きます貴方の植えた通りに,植込に捨てられた紙はくしゃくしゃで  もとはパルプで大樹であった,植物の方が好きだと言う君が遠い目をして水をやる花,梅雨まえの顎アジサイの白き花植え込みに咲き夜目にうごめく,ヒトよりも確かな生を植物は見せて散りゆくとくに春には,植え込みのつつじも花終え桜葉より垣間見る梅雨の雲の郷愁,寄せ植えをひとつせっせとこしらえて声を聴こうとする薄曇り,暑くなりスイートピーも枯れました朝顔君が植え替え待ちです,また一本名もなき苗木植えるたび「地球」が「地球」じゃなくなっていく
カタツムリ,かたつむりに悪口を言うきょうおれが上司に言われたやつをそのまま,やんわりと断るすべも知らないで待ち合わせへと往く蝸牛,でで虫を雨に返してゆっくりでいいよと戻るわが病室へ,かたつむりに塩をかけたる無邪気さで離婚しようと微笑む君は,カタツムリのため息のように少しだけ不平をつぶやき作業着を着る,‪雨を編み葉を縫い合わすカタツムリ内職している紫陽花の陰‬,永遠に暮れてくような夕闇よ  カタツムリたる速度ですすめ,紫陽花に落ちる雫を受け止めたカタツムリだけ見えるきらめき,水無月の終わる頃には殻だけを証明として去るカタツムリ,アンダンテ  でんでんむしはそう言って歩く速さで道のりをゆく,‪話せずに本の貸し借り続いてる2人の距離はカタツムリの恋‬,雑巾は絞りきれずに蝸牛の足跡みたいに未練を残す,食用のカタツムリ無理無理無理と言いつつ箸でつついてつつく,カタツムリ殻は体の一部だと話す貴方を懐かしむ梅雨,わたしには眩しすぎますはつなつのひかりも君も膜ごしに見る,かたつむり歩いた跡だ、てかてかに夜のアスファルトひかりが続く,少しずつ少しずつでもカタツムリ夢へと向かう君のようだね,雨空に降り立ったのだ 紫陽花の毒を食めども梅雨に生きよう,雨の日を選んできみが踏んづけたかたつむりこそぼくなのでした,さみしさに家の壁這ふかたつむり引き剥がしゆく子どもの我と,カタツムリ触れなくなりこれからはどんな命を救っていこうか,背負い込んだ悩みを取り去ってあげたら死んでしまった君はカタツムリ,長靴で踏めばくしゃりと音をたて狂気の味に酔いしれる子ら,この傘に入らないかいカタツムリ 虹のあしあと途切れた僕の,蝸牛お家なくして塩振られ無邪気に摘んだ子どもは生きる,何らかの化石の役でカタツムリ園児のままごと強制参加,ぼんやりとコンクリートの壁を背に凭れる私はいまカタツムリ,肺呼吸って知ってたかカタツムリ水中避けて生き延びていく,小雨降り紫陽花の青鮮やかにカタツムリの恋写すキャンバス,目的のところまで這うカタツムリきみのペースのコツが知りたい,背にシェルターがある安心感が欲しいカタツムリへの嫉妬渦巻く,,いつの間にここから去ったカタツムリ また空いている傘の右側,紫陽花のかたつむりをばうらやまし痴漢に遭いし独りの夜に
腰痛,腰痛を忘れて祖母はとびきりの飛行機雲を目で追っている,３度目のぎっくり腰はオフィスにて重要書類もつ刹那来ぬ,どこがどう痛いか上手く言えなくてあなたを好きな理由みたいに,トントンと叩いた腰から出た星が冗談ぬきでとても真顔だ,懐メロか新曲なのか分からない有線に似た腰痛持てり,初めての腰痛すらも愛しいと撫でるお腹の中からお返事,恋ならば胸にギックリなら腰にわれに流れる電流のある,腰痛が雨に溶けゆき薄くなる僕はあなたの奥を求めた,石油王ならば油田を差し出して乞うほどぎっくりしちゃってる腰,我が娘引っ越し手伝い荷を運び帰りに貰った腰痛お土産,君という未知の惑星探索し塔を見つけた罰が腰痛,しなやかな腰を下ろして微動だせずトノサマガエル腰痛はなし,君の手のぬくもりが肌に溶け込んで腰の痛みも流れる五月雨,これが夢だったんですか腰痛で彼女に湿布貼ってもらうの,ひとりでは腰の湿布が貼れなくて写真のきみは笑ってゐる,よっこいしょ大地の恵み届いてね日々の腰痛日々の勲章,腰痛がつらくて車椅子を立った進める道は前にしかない,腰痛のツボでも押してると思いたい自分の胸を揉んでるおじさん,腰痛のひとりを思ふ水平に枝をかかげて門飾る松,フィレオフィッシュを当てていくような沈みかたでかたちになる椅子,19歳、美しかった年なのに腰痛、胃痛、歯痛、頭痛が,腰痛に悩む父母 その子たるわが身もやはり腰痛持ちで
起,まだ起きているひとたちのさみしさのゆっくり流れてゆく川にいる,頻繁に起きる事件としてきみのソフトクリーム崩落がある,起き抜けに飲む水ほどに染みわたる言葉をもらう 朝はすぐそこ,前世では男であった 夢で得た勃起のあまりにあまりにリアル,風のあとエノコログサは起き上がる  退職すると今日こそ告げん,特急の座席でふいに揺り起こされたいささやかれたい「海だよ」,少しだけ君より早く起き出して静かに寝顔を観察している,雨粒の起点はどこか目に見えていることなんてほんの一部だ,靴を脱ぎできそこないのおきあがりこぼしのようになる午後十時,ハロワにて無言の再会退職し起業しますと言ってた部下と,窓むこう寄す波の音を聞きながら起きてるよ、起きてるよって言う,明日には紫陽花の咲く心地して起きるのを待つ気分で眠る,明け方の揺れにとび起きそのままに満員電車でまた揺れている,とほくからわたくしを呼ぶこゑのして夢のさなかのからだを起こす,起きてすぐ抱きつくクマのぬいぐるみいつも泣きそうな顔をしている,真夜中に起こしにやってくる君は夢の中だけとても優しい,いつまでも一人の人を胸に持つけっ起集会一人で開く,月曜日、雨 憂鬱を経たのちに起き上がり小法師になっている朝,起きてすぐ浴びるシャワーで真夜中に起こったバグは修正できる,起訴状：私は思考の八割をあなたによって失いました,午後五時のチャイムでそれは起動してきみの手を取る夕焼け小焼け,携帯のアラームだけがきびきびと繰り返されて起きない息子,七転び八起きの文字のいつしらに入れ替わりたる七転八倒,超巨大クマ型ロボを起動させパックのイチゴのお使い頼む,寝て起きて歯を磨いたら今日もまた色んな人生に逢いに行く,二度寝する朝の病棟  検温の看護士さんに起こされたくて,そんなにも僕が嫌いか 起き上がり小法師も赤ベコも動かない,猫の鼻湿ったキスは「ねえ起きて」乾いたキスは「ご飯ちょうだい」,「起立気をつけ礼」なんてたまにしか言わないのだし支配欲満たして,起立・礼・着席をするマッチ棒  そんなシュールな動画のように,「子育てがしやすい国を目指します！」号泣しつつ赤子が起きる,起承転結が決まらないいつもぐだぐだなまま眠りに落ちる,,寝て起きて寝て起きて寝て起きて寝て そのためだけに家は要ります,起き上がれ！頭のなかにパイロット起動音だけ口から漏れる,この世界 私ただひとり ダメなのと 思う朝まだ 終わらぬ気配
動物,愛用の図鑑の馬はどれもみな左を向きて立たされており,僕たちはプリンを食べる動物だ生きていないと死んでしまうよ,込み入った話のようね老い猫は膝のうえからゆっくり下りる,夢を見ない動物園のふくろうは月とふたりで叙事詩をつむぐ,雨の降る動物園で声にする「大人一枚」「絶滅危惧種」,昼寝する私をよそに伸びているキュウリがたぶん動物だろう,オオカミになった翌朝薄味のみそ汁でヒトに戻りゆくきみ,記憶には遠く小さいライオンと大きく見えた父の背中と,動物と静物しゃがむしかなくて花壇にしゃがむ私はどちら,たましいのかたちはひどく曖昧でたべっ子どうぶつの山羊を噛む,土砂降りにマンモスたちが目を覚ますグレーゾーンに煙る象徴,安定のどうぶつごっこで転がればどこまでいっても屈託がない,給油時はこころの波にかかわらずみんな頭をさげる動物,「動物を飼っています」は異動時の配慮事項に入りませんか？,たべっ子どうぶつじゃなくてたべられっ子どうぶつな気がするけど美味い,わたくしは水生の動物なればお湯に浸かって取りもどす息,にこにこのどうぶつたちをこなごなにくだいてたべるわたしが最強,ヒトがいる。動物園に。寝て起きて食べて時々静かに笑う,そよ風がはらりはらりと撫でていく動物図鑑のコアラのページ,動物的な、余りに動物的な僕ら  もう来ることのないバスを待つ,ペンギンは狼だった。動物が動物占いなんてするなよ,ミドリムシジュースを買って飲んでみたちょっと値段が張ると思った,噛み付いて歯形をつけて痕を舐め貴方はこれを依存と呼んだ,次々と摘まむたべっ子どうぶつで塾がスタートするさくら組,動くものかわゆし猫に駆け寄って揺れるビニール袋と気付く,「人間も動物なんだ」という君は私が愛でるネコも触れない,動物の一人としては愛し合うことも恐れず晒し合う夜,ウサギなら死ぬかもしれない孤独とう時間がヒトには薬でもある,動物になれればきっと簡単で そうじゃないから悩む距離感,猫と目を合わせないでよ  あなたの目、つられて透けてしまうのだから,ふるさとの保育所で知る人の優しさとたべっ子どうぶつの味,出来るなら理性脱ぎ捨て動物のようにあなたと全てを忘れる
両,この夏の予定について燦々とあなたが手話で咲かす向日葵,両断のグレープフルーツ香り立つ  あなたはもっと怒るべきです,両腕に抱えきれない思い出をこぼしてわたし道になるんだ,支えてととても言えずにひとまずは両手で吊革持ってみている,僕の名がきみのペン字で書き込まれ両日ともに参加できます,両隣りから本を読む音がする車内で閉じるスマホのパズル,朧月「わたし大人に見えますか？」両生類に問えばせせらぎ,両耳をきみにやさしくふさがれて未だに切れぬ春の黒髪,僕はもう両生類にはなれなくてきみがいないと息もできない,両耳に音を突っ込み眼を閉じる私が「Lemon」で満たされていく,ありふれたカレーを作る両親の愛を知らずに育った父へ,なで肩のビーチパラソルに隠れてはキスをしている両思い達,両脚で挟み込まれて笑いだす声が静かになるまで10秒,人生ではじめて格好いいなって思ったヒーロー『両津勘吉』,両の手で抱きよせながら祖母は言ふ「学校へ行け」叔父の名を呼び,二両目の一番端に座ってる花沢さんが何か物憂げ,雨の日は夜のにおいをさせながら二両編成がゆく海岸線,両親の結婚式を見にゆこう一般化したタイムマシンで,両腕をとられて向かふ二次会のカラオケに引く年齢格差,人工の体に替えてゆくとしていつも見ている両手は残す,不器用に呼吸をしてたいどこででも両生類のようになれたら,両側に外国人の話しをり歌詠みにくしアイアムオセロ,今日もまた抱っことせがむ吾子の身を両手で抱き上げ重さ確かめる,死ぬまでになってみたくて両思い 満月みたいな円さがあるの,思い切り私の両手を引っ張って抜けたカラダは食べてしまって,振り向けばひとすじの道両腕で抱き締めきれぬ日々どこまでも,たっぷりと雨の予感を両の手に遠き日の恋また掬う朝,ふたりとも両生類の仔になった 乾いた街の雨季を待つ部屋,追ふ父母に弁当だよと掴まれた両手にのこる古い憧憬,ポスターを貼りたいという候補者と支持者のための両面テープ,渓谷をトコトコ走る一両車うたの日ひらき短歌を捻る,千両の上向きの実を妬きつつも万両の実は下向きにつく,両国の駅で偶然すれ違う力士の髪はまだ髷結えず,席譲る人見かければ心浮き車両選びもおみくじのごと,彼を好き。失恋するのが怖いときでも両目を開けてみて来たんだから,黄昏に車両が凶器に変わるとき罪なき子らが道ずれとなる,僕らには枠組みにする骨がなくコウモリ飛んで両成敗の日
車,章ごとに目を閉じ祖父は各停の列車のように本を旅する,ガリバーの歩幅でまたぐ  いつまでも片付けられぬトミカの列を,洗車機のなかの車のなかにいて綺麗にならず煙草をふかす,雨の日の観覧車のてっぺんは世界と一番遠いとこにある,自転車で迎えに行くよ 持っていく本をリュックに詰めて待ってて,まだ発車せぬうち吊革にぎりしめ確かめており己の居場所,笑み浮かべ花と語らう祖母を乗せ車椅子押すあじさい通り,やんわりと拒絶してるのにドキャドガガあなたの恋は戦車のそれで,車窓から笹舟ひとつ追い越した 無法地帯の池と信号,「QQ車、タピオカ車みたいだし、お腹空くよね」(サイレンの音),車窓から一瞬見えた夕焼けでもう簡単にさみしくなれる,しあわせは身近にあって例えればブルーバードに乗る日曜日,とろとろと水車は水を送り込みハウス苺を香りで満たす,自転車が教えてくれる向かい風木の実がはたと唇を打つ,かぼちゃでも何でもいいから馬車に乗り舞踏会へと出かけてみたい,母の炊く車麩を煮た出し汁をご飯に掛けて啜るを好む,危の文字を黄色に消した暴走車  黄昏のなか国境越える,啄木鳥と車懸かりの言葉から川中島を思う猛者ども,サイドミラー猫背で歩くあの人にほんのり遅いブレーキを踏む,,お迎えの車が来るまであとわずか毛布にくるまり肩車する,痛車三台並んで轟かす 愛と忠誠心に感服,はつなつの裸足で歩く海へゆく白い帽子を車にのせて,泥をまきあげる4WDの平行線でおだやかな朝,車から腕を出したら怒られた頭をかいてテヘヘと笑う,小糠雨に濡れつつ迎えの車待つ消え入るかに消え入らぬ身を抱え,帰国して大車輪の働きをしてるつもりが空転してた,全地球の命預かる重圧がハンドル握る手にのしかかる,車窓から眺むる海の潮風にあの日の2人映し出されて
小,のど飴が小さくなっていく誰も呼ばない喉を満たす潤い,精米をじつと待ちゐる小雀に少しお米をこぼし行きたり,「ダメかもな」とても小さなその声にきみがほんとに壊れたと知る,「このニンジン、貴方の薬指みたい」 小口切りする音が止まない,小3で彼氏がいるという姪に恋愛指導を求める三十路,小数点以下として切り捨てられる数字のことを知らずに降る雨,,数枚の小銭がなくて万札に伸ばした指の動きがにぶい,一心に銀のボウルの水を飲む小さきものと暮らすさやけさ,小さいの小さいのって言いながら小さいほうがわからぬケーキ,「小人」と書かれるわが子か園内でドワーフにでもなるかと思う,小さい「っ」が二つあるのはどう読めばよいのかと問う父の子であるっっ,果てしなく小さな僕の器へとなみなみ空虚注がれあ、あふれ,旦那なら娘にカレが居ると知り小さな声で何か言ってる,,黒々とせし無防備な眼持て小女子一尾箸にささやく,旅先のみやげもの屋の小棚から我に「買って」と告げるフクロウ,花嫁が小洒落た雑貨に囲まれて暮らす夢だけ見てる初夏,赤い糸たぐってみたけど混線中ちぎってあなたの小指に結ぶの,週末に起こったことを大袈裟に話すあいつの小さな器,右 左 上 下、えっと右っぽいと曖昧に決まる1.5の視力です,,お姉ちゃん！駆け寄ってくる其の姿小さき頃の面影残す,すこしずつ小さくうすくなってゆくだれかの吐瀉物   明日も会える？,丸髷を調べ学んだ切掛は小山市観晃橋シミ事件,季節ごと小さな花を咲かせてる信金にいまきみの笑顔が
思,煮魚に箸入れる彼うつくしく崩れた白身にゆうべを思う,銃声としてピアッサーこの夏はあなたの思いどおりにならない,古本の太宰を買ってリビングは思惑どおり夕陽のかおり,思春期の素行は漂泊し続けるインターネットの海原の中,洋服が私のことを脱ぎ捨てて思い思いに横たわる部屋,ときどきは思い出させてほしいけど勝手に夢に出ないでほしい,タチアオイ真っ直ぐに咲き潔く思いの丈を打ち明ける夏,思惑は恋心とも言うらしい 机の下で膝くっつける,とれかけた釦みづから縫ひつけし思春期の子に夏は来にけり,バス釣りにやけに詳しいきみの過去思えばわれに生まれるほのお,はるかなる祈りであって欲しかった相思相愛という言葉は,書庫にある思いをひとつ取ってきてきみに手渡す  栞がいるね,「言っちゃダメ、思うだけなら良い」ということに気付いて少し自由だ,路地裏にじっと咲いてる紫陽花をさみしく思う雨降りの夜,この雨の終わりを思う 土砂降りの君の瞳に虹はかかるか,花びらを千切る 写真に触れてみる 両思いかな今日のゆびさき,あきらめることをあきらめ永遠にきみに片思いすることにした,花びらが集う校舎の吹き溜まり卒業生の思念を食べに,はなれてもどうせ大事に思うからいいや傘がなくてもわらう,思いやりダイバーシティへ進みゆく手のひら伝うやさしい雨だ,「ペンギンを思い浮かべてください」と医師からの指示。不埒なペンギン,菱の葉をながめておれば菱形とはいささか違うと思えてならず,思い出にいまだならない恋があり桜が散る頃ふと思い出す,道のりに意味はあったと思えれば悲しみに吹く黄金の風,思うほどおいしくなくて弟の皿から取ったイチゴを戻す,そのあたり父に似ていてまっしぐら思いとどまれあしたの私,死に顔を思う  貴方の温もりが幽かに残る白亜の部屋で,死にたいと思ってないけど一ページ一画ずつ書く死にたいの文字,変わらねば君と会話も出来ぬとぞ弥生の花を見つめて思う
